,Elapsed time(seconds),SpO2(%),hr (bpm)
0,0.000, 97.000, 81.000
1,1.000, 98.000, 76.000
2,2.000, 98.000, 75.000
3,3.000, 98.000, 73.001
4,4.000, 98.000, 72.000
5,5.000, 98.000, 71.000
6,6.000, 98.000, 70.000
7,7.000, 98.000, 68.001
8,8.000, 98.000, 66.000
9,9.000, 98.000, 64.001
10,10.000, 98.000, 63.000
11,11.000, 98.000, 62.000
12,12.000, 98.000, 62.000
13,13.000, 98.000, 62.000
14,14.000, 98.000, 64.001
15,15.000, 98.000, 64.001
16,16.000, 98.000, 65.001
17,17.000, 98.000, 66.000
18,18.000, 98.000, 66.000
19,19.000, 98.000, 66.000
20,20.000, 98.000, 68.001
21,21.000, 98.000, 68.001
22,22.000, 98.000, 67.000
23,23.000, 97.000, 67.000
24,24.000, 97.000, 67.000
25,25.000, 97.000, 67.000
26,26.000, 97.000, 67.000
27,27.000, 97.000, 67.000
28,28.000, 97.000, 67.000
29,29.000, 97.000, 66.000
30,30.000, 97.000, 66.000
31,31.000, 97.000, 67.000
32,32.000, 97.000, 66.000
33,33.000, 97.000, 66.000
34,34.000, 97.000, 66.000
35,35.000, 97.000, 65.001
36,36.000, 97.000, 65.001
37,37.000, 97.000, 65.001
38,38.000, 97.000, 65.001
39,39.000, 97.000, 64.001
40,40.000, 97.000, 64.001
41,41.000, 97.000, 64.001
42,42.000, 97.000, 64.001
43,43.000, 97.000, 64.001
44,44.000, 97.000, 64.001
45,45.000, 97.000, 64.001
46,46.000, 97.000, 64.001
47,47.000, 97.000, 65.001
48,48.000, 97.000, 65.001
49,49.000, 97.000, 66.000
50,50.000, 97.000, 69.001
51,51.000, 97.000, 69.001
52,52.000, 97.000, 69.001
53,53.000, 97.000, 68.001
54,54.000, 97.000, 66.000
55,55.000, 97.000, 65.001
56,56.000, 97.000, 64.001
57,57.000, 98.000, 64.001
58,58.000, 98.000, 64.001
59,59.000, 97.000, 65.001
60,60.000, 97.000, 67.000
61,61.000, 97.000, 67.000
62,62.000, 97.000, 68.001
63,63.000, 97.000, 70.000
64,64.000, 97.000, 70.000
65,65.000, 97.000, 70.000
66,66.000, 97.000, 69.001
67,67.000, 97.000, 68.001
68,68.000, 97.000, 68.001
69,69.000, 97.000, 68.001
70,70.000, 97.000, 68.001
71,71.000, 97.000, 68.001
72,72.000, 97.000, 68.001
73,73.000, 97.000, 68.001
74,74.000, 96.000, 66.000
75,75.000, 96.000, 65.001
76,76.000, 96.000, 64.001
77,77.000, 96.000, 64.001
78,78.000, 96.000, 65.001
79,79.000, 96.000, 65.001
80,80.000, 96.000, 67.000
