ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s)
6.799927;-6.98938;0.295456;-0.3305;-1.384;1.4102
6.725708;-6.944488;0.374466;-0.5438;2.0038;-1.6725
6.764008;-6.992965;0.425339;0.6767;-1.7197;0.1285
6.862168;-6.937896;0.35112;2.2941;-2.5738;-0.0551
6.787354;-6.96962;0.382248;-1.307;1.8211;0.5552
6.755631;-7.028885;0.348129;1.5317;-1.4146;-0.3602
6.808304;-7.01033;0.334961;-3.5652;4.1396;-0.2378
6.83165;-7.010925;0.272705;-1.3979;2.5529;0.1591
6.741272;-7.012726;0.315216;1.1348;-1.1086;0.403
6.735871;-6.999557;0.315811;-1.5509;1.8814;-0.3908
6.761017;-7.070785;0.240387;1.0736;-0.6207;-0.3602
6.729294;-7.03247;0.353516;0.6461;-1.0176;0.3724
6.723313;-7.012115;0.346939;-1.0019;0.6915;0.1285
6.687989;-7.118057;0.423553;-0.4826;-0.8034;0.6776
6.722107;-7.044449;0.352921;-0.2693;0.2946;0.0979
6.700562;-7.030075;0.33197;0.1582;-0.0411;-0.4826
6.750244;-6.966034;0.31102;0.4328;-0.4677;-0.3296
6.774185;-6.97142;0.335556;0.1888;-0.132;0.0061
6.802918;-7.003738;0.35112;-0.2999;-0.6513;0.1285
6.677826;-7.012726;0.324188;0.7991;-0.8646;-0.299
6.740067;-7.045044;0.337357;-0.7571;1.3324;-0.2684
6.740662;-7.048034;0.321198;1.3175;-1.6891;0.5858
6.650879;-7.028274;0.357712;0.341;-0.4074;-0.1469
6.720322;-7.054611;0.353516;0.0664;-0.3156;0.0673
6.682007;-7.063598;0.300842;0.8909;-0.834;1.0439
6.709549;-7.040848;0.324783;-0.7877;1.0273;-0.7877
6.726303;-7.064789;0.33316;0.2194;-0.834;-0.4214
6.730484;-7.056411;0.303833;0.8909;-1.5361;0.3112
6.604798;-7.079757;0.339157;0.4022;-1.0176;0.0367
6.703552;-6.997162;0.322983;-0.1163;0.2946;-0.1163
6.719116;-7.051025;0.300247;0.5246;-0.7728;-0.2072
6.750839;-7.007934;0.276306;-0.3305;0.9661;-0.299
6.754441;-7.003738;0.303238;-0.2081;0.3252;-0.1163
6.721512;-7.012726;0.275711;1.196;-1.2004;0.25
6.665848;-7.008529;0.317001;0.8297;-0.987;-0.6959
6.715531;-7.013321;0.342743;0.3716;-0.8646;0.3724
6.751435;-7.040252;0.354721;0.1276;-0.2544;0.1285
6.783768;-7.000747;0.314606;-0.605;1.4242;-0.5429
6.766403;-6.986389;0.306229;0.1888;-0.1626;0.25
6.726898;-7.000152;0.281097;0.8909;0.3252;-0.0857
6.741867;-7.007934;0.344543;-0.6968;0.1425;0.2806
6.762207;-7.010925;0.359497;-1.307;0.6609;0.5552
6.73288;-7.025284;0.248764;-0.5438;1.3936;-0.1163
6.722107;-7.024093;0.257156;1.3787;-1.231;0.0367
6.667038;-6.958847;0.264328;-0.605;1.2712;-0.3908
6.742462;-6.994766;0.292465;-0.7877;0.2334;-0.2378
6.805908;-6.956451;0.305634;0.2492;-0.4371;0.0979
6.850205;-6.937301;0.25415;1.3481;-0.6819;0.494
6.775986;-7.004944;0.254761;-0.5438;0.3864;-0.3908
6.714325;-6.992965;0.294861;0.1582;0.5088;-0.0551
6.75264;-7.001938;0.298447;-0.7877;0.8139;-0.5429
6.81189;-7.03128;0.21405;-0.0254;0.6915;-0.299
6.750839;-7.018707;0.255951;0.2492;-0.0411;0.1591
6.736481;-7.039657;0.31102;0.1888;-0.1932;-0.1766
6.737076;-6.96962;0.25177;0.0358;0.6303;-0.1163
6.73468;-7.027679;0.287079;-0.3917;-0.0411;-0.0551
6.740067;-7.00972;0.346939;0.1888;0.1425;-0.0245
6.71373;-7.002548;0.315811;-1.2152;1.3324;-0.7877
6.759217;-7.018112;0.321198;0.3104;-0.4074;0.4336
6.816086;-6.972015;0.29187;-0.1469;-0.3768;-0.1163
6.769989;-7.000747;0.297852;0.9512;-1.0176;0.1888
6.803513;-6.960052;0.287079;0.3104;-0.1932;0.2806
6.804108;-7.054016;0.218842;-0.1775;-1.3228;-0.4214
6.774781;-7.040848;0.25177;-0.9713;1.4548;-0.299
6.766999;-7.043838;0.25116;1.5614;-2.1157;0.0673
6.823868;-6.985183;0.261932;0.1276;0.3252;0.1888
6.718521;-6.989975;0.287674;-0.3611;0.9355;0.2806
6.755631;-6.966034;0.314011;1.0736;-0.1932;-0.0857
6.735276;-7.024093;0.323593;-1.7039;1.516;-0.2684
6.716721;-7.082153;0.379257;-0.8489;-0.6513;0.3418
6.737076;-7.03067;0.260742;0.2492;-0.3156;-0.0857
6.802918;-6.974411;0.275101;1.6838;-2.5738;0.0979
6.731095;-6.964233;0.303833;-1.9785;3.56;-0.4214
6.768204;-7.033066;0.387634;-0.8183;-0.2544;0.3418
6.762818;-7.015106;0.255951;0.2492;-0.7431;-0.4826
6.812485;-6.945083;0.301437;0.1888;-0.0411;0.3724
6.763413;-6.984588;0.219437;0.0052;0.2037;0.0979
6.777176;-6.986389;0.306229;1.8972;-1.8106;0.7082
6.777771;-7.058212;0.309219;-1.5203;-0.0411;0.0061
6.736481;-7.036056;0.25415;0.3104;-0.2238;0.0979
6.787949;-6.975006;0.33197;0.9206;-0.7125;-0.0245
6.772995;-6.95166;0.247574;-1.2764;2.1262;-0.1766
6.782563;-6.999557;0.306229;0.9206;-1.9024;0.1888
6.825058;-6.998352;0.210464;-1.2458;0.9967;0.4642
