ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s)
-0.394653;-10.118591;0.643814;-0.9713;0.6915;-0.5735
-0.402435;-10.116196;0.658783;0.2492;0.0813;-0.2072
-0.379089;-10.122787;0.642624;-0.2999;-0.4074;-0.0245
-0.394653;-10.082687;0.661179;-0.056;0.4476;-0.0245
-0.351562;-10.081482;0.668945;0.1276;-0.5595;0.1285
-0.376694;-10.095261;0.663559;0.097;0.1119;0.1591
-0.402435;-10.110809;0.623459;0.8603;1.0273;-0.1469
-0.365921;-10.081482;0.507339;0.2194;1.1191;-0.3908
-0.349762;-10.110809;0.62825;0.3716;-0.987;-0.0857
-0.332397;-10.115601;0.662964;0.097;-0.132;0.3418
-0.385071;-10.110214;0.492386;-0.2999;0.2946;-0.6653
-0.318634;-10.119202;0.655777;-0.056;0.1119;-0.0551
-0.343185;-10.122787;0.639618;0.097;0.2946;0.25
-0.400635;-10.107224;0.581558;-0.0857;-0.7431;-0.1163
-0.362335;-10.113205;0.58635;-0.3917;-2.1463;0.3112
-0.342575;-10.113205;0.600113;-0.056;1.8814;0.0979
-0.464081;-10.129364;0.604904;0.8909;-0.5289;-0.0245
-0.340179;-10.113205;0.601318;0.4022;0.4782;0.1591
-0.395248;-10.134155;0.642014;-0.0857;-1.1392;-0.0551
-0.352158;-10.109024;0.543259;-0.4214;-3.0013;0.403
-0.337784;-10.129974;0.585754;0.341;-0.3156;0.1888
-0.10675;-10.268234;0.381042;19.5066;22.9083;-9.0574
-0.525131;-10.044983;0.379852;5.8646;-26.3774;5.8348
-2.147217;-10.562119;-2.809219;-144.4652;50.9539;52.1604
2.349106;-12.203949;-4.375625;-11.2553;95.6926;5.8654
0.03331;-10.041977;2.067764;47.1858;45.8884;-11.9564
4.494309;-4.855545;2.515488;20.3913;-12.5833;-49.5236
-2.906769;-7.215027;1.655365;68.9751;16.1949;-38.0795
-5.513458;-3.799103;0.194305;-61.5176;136.1894;97.5399
-1.828781;-14.562241;2.523255;16.5463;-145.2127;-41.2845
-3.966797;-15.381058;5.897888;-80.9883;281.6058;109.7779
-4.840088;-7.526275;-3.197677;10.1371;-3.7943;29.4251
-0.77832;-11.00386;1.625443;44.0419;15.2786;1.0133
1.109497;-6.377655;0.279297;44.5001;28.6155;-13.0554
-4.049408;-12.815659;1.372253;27.8069;-110.7894;16.5157
-2.520111;-11.22113;-5.299789;-123.9261;-57.5362;62.8727
-0.947708;-9.226166;-0.660431;26.0977;151.5091;39.404
-2.078979;-9.965973;0.96463;31.0722;45.9496;-6.2195
-3.102493;-9.767853;1.502136;7.391;21.9012;-8.1114
-2.15918;-9.925262;1.205856;0.3716;1.4242;-2.9847
-2.221435;-9.942627;1.504532;1.3481;3.7436;-0.6041
-2.166962;-9.89653;1.289047;-0.0254;-0.3156;0.4336
-2.304031;-9.907913;1.207642;-0.6968;1.6681;-0.452
-2.341736;-9.789398;1.257919;-0.6356;-0.4677;-0.3296
-2.134048;-9.888153;1.149582;-0.605;1.9732;0.4642
-2.192703;-9.903717;1.187897;-0.4826;1.0579;0.403
-2.255554;-9.898926;1.190292;0.7991;1.5457;0.1591
-2.231003;-9.938431;1.243561;0.494;-0.8646;0.1285
-2.248367;-9.93425;1.256134;-1.3979;-0.8952;-0.5123
-2.084961;-9.963577;1.211838;-0.5132;-0.4371;-0.3296
-2.130447;-9.927658;1.154968;0.3104;0.417;0.0979
-2.254944;-9.881577;1.171738;-0.2693;0.5088;0.1888
-2.26033;-9.89653;1.072372;0.1276;0.264;-0.5429
-2.16037;-9.915695;1.246552;-0.605;-1.1392;0.0367
-2.204071;-9.85524;1.214233;-0.5744;0.2334;-0.1766
-2.228607;-9.922867;1.248352;0.3104;1.0885;0.25
-2.268112;-9.888748;1.22081;0.1276;-0.0105;0.0673
-2.129852;-9.853439;1.315384;1.196;2.0038;0.494
-2.186706;-9.912094;1.388413;-0.7274;-0.285;0.2194
-2.172943;-9.849243;1.321976;-0.7274;0.2946;-0.3602
